(-264, 234)
(321, -158)
(-150, 384)
(240, 341)
(-109, 92)
(-127, -48)
(15, -101)
(306, 274)
(165, 12)
(-395, -215)
(388, -93)
(-229, -125)
(-232, 391)
(149, 7)
(-67, -70)
(369, 98)
(-363, 349)
(-127, 30)
(-117, -125)
(-141, 335)
(250, -207)
(-223, 27)
(-92, -314)
(59, -358)
(169, -263)
(22, 177)
(271, -235)
(-307, 388)
(288, -270)
(194, -313)
(-64, -399)
(26, -328)
(118, 158)
(-58, -22)
(-174, 61)
(-196, 373)
(-24, 376)
(111, -322)
(108, -336)
(196, 91)
(206, -243)
(-262, -178)
(332, 190)
(100, 280)
(351, 354)
(240, 193)
(64, 225)
(-390, -276)
(-71, -73)
(176, 200)
(1, -256)
(240, -380)
(-344, 32)
(340, 89)
(-339, -259)
(-179, -322)
(355, 244)
(341, 360)
(153, 28)
(392, -2)
